meter_id,hour_start,avg_kwh,min_kwh,max_kwh,sum_kwh
M009,2026-04-19 00:30:00,0.257,0.257,0.257,0.257
M009,2026-04-26 02:30:00,0.212,0.212,0.212,0.212
M009,2026-04-05 04:30:00,0.483,0.483,0.483,0.483
M009,2026-04-26 04:30:00,0.404,0.404,0.404,0.404
M009,2026-04-19 10:30:00,0.515,0.515,0.515,0.515
M009,2026-04-26 10:30:00,0.661,0.661,0.661,0.661
M009,2026-04-12 12:30:00,0.674,0.674,0.674,0.674
M009,2026-04-12 13:30:00,0.476,0.476,0.476,0.476
M009,2026-04-12 20:30:00,1.361,1.361,1.361,1.361
M009,2026-04-19 21:30:00,1.035,1.035,1.035,1.035
M009,2026-04-26 23:30:00,0.292,0.292,0.292,0.292
M009,2026-04-27 01:30:00,0.216,0.216,0.216,0.216
M009,2026-04-06 03:30:00,0.251,0.251,0.251,0.251
M009,2026-04-27 04:30:00,0.385,0.385,0.385,0.385
M009,2026-04-27 07:30:00,0.767,0.767,0.767,0.767
M009,2026-04-06 09:30:00,0.504,0.504,0.504,0.504
M009,2026-04-27 09:30:00,0.564,0.564,0.564,0.564
M009,2026-04-13 11:30:00,0.516,0.516,0.516,0.516
M009,2026-04-13 12:30:00,0.493,0.493,0.493,0.493
M009,2026-04-13 14:30:00,0.486,0.486,0.486,0.486
M009,2026-04-20 14:30:00,0.506,0.506,0.506,0.506
M009,2026-04-27 17:30:00,1.011,1.011,1.011,1.011
M009,2026-04-20 18:30:00,1.247,1.247,1.247,1.247
M009,2026-04-20 19:30:00,1.347,1.347,1.347,1.347
M009,2026-04-20 22:30:00,0.429,0.429,0.429,0.429
M009,2026-04-07 00:30:00,0.223,0.223,0.223,0.223
M009,2026-04-21 01:30:00,0.173,0.173,0.173,0.173
M009,2026-04-21 03:30:00,0.272,0.272,0.272,0.272
M009,2026-04-07 06:30:00,0.845,0.845,0.845,0.845
M009,2026-04-28 10:30:00,0.453,0.453,0.453,0.453
M009,2026-04-14 12:30:00,0.459,0.459,0.459,0.459
M009,2026-04-21 12:30:00,0.512,0.512,0.512,0.512
M009,2026-04-21 13:30:00,0.47,0.47,0.47,0.47
M009,2026-04-14 14:30:00,0.497,0.497,0.497,0.497
M009,2026-04-28 14:30:00,0.47,0.47,0.47,0.47
M009,2026-04-28 15:30:00,0.547,0.547,0.547,0.547
M009,2026-04-14 16:30:00,0.673,0.673,0.673,0.673
M009,2026-04-21 21:30:00,0.793,0.793,0.793,0.793
M009,2026-04-21 22:30:00,0.423,0.423,0.423,0.423
M009,2026-04-08 01:30:00,0.195,0.195,0.195,0.195
M009,2026-04-15 01:30:00,0.205,0.205,0.205,0.205
M009,2026-04-15 04:30:00,0.335,0.335,0.335,0.335
M009,2026-04-22 04:30:00,0.358,0.358,0.358,0.358
M009,2026-04-08 06:30:00,0.71,0.71,0.71,0.71
M009,2026-04-15 06:30:00,0.997,0.997,0.997,0.997
M009,2026-04-22 06:30:00,0.624,0.624,0.624,0.624
M009,2026-04-08 09:30:00,0.472,0.472,0.472,0.472
M009,2026-04-15 09:30:00,0.444,0.444,0.444,0.444
M009,2026-04-29 13:30:00,0.548,0.548,0.548,0.548
M009,2026-04-22 14:30:00,0.34,0.34,0.34,0.34
M009,2026-04-15 15:30:00,0.56,0.56,0.56,0.56
M009,2026-04-08 16:30:00,0.573,0.573,0.573,0.573
M009,2026-04-15 16:30:00,0.672,0.672,0.672,0.672
M009,2026-04-29 17:30:00,1.105,1.105,1.105,1.105
M009,2026-04-08 20:30:00,1.65,1.65,1.65,1.65
M009,2026-04-15 20:30:00,1.03,1.03,1.03,1.03
M009,2026-04-22 20:30:00,1.009,1.009,1.009,1.009
M009,2026-04-29 20:30:00,1.239,1.239,1.239,1.239
M009,2026-04-22 21:30:00,0.947,0.947,0.947,0.947
M009,2026-04-02 00:30:00,0.278,0.278,0.278,0.278
M009,2026-04-30 00:30:00,0.236,0.236,0.236,0.236
M009,2026-04-09 04:30:00,0.401,0.401,0.401,0.401
M009,2026-04-16 05:30:00,0.702,0.702,0.702,0.702
M009,2026-04-09 06:30:00,0.948,0.948,0.948,0.948
M009,2026-04-09 07:30:00,0.697,0.697,0.697,0.697
M009,2026-04-23 07:30:00,0.623,0.623,0.623,0.623
M009,2026-04-02 09:30:00,0.404,0.404,0.404,0.404
M009,2026-04-16 09:30:00,0.451,0.451,0.451,0.451
M009,2026-04-23 10:30:00,0.428,0.428,0.428,0.428
M009,2026-04-30 15:30:00,0.561,0.561,0.561,0.561
M009,2026-04-16 16:30:00,0.48,0.48,0.48,0.48
M009,2026-04-09 17:30:00,1.061,1.061,1.061,1.061
M009,2026-04-16 18:30:00,1.506,1.506,1.506,1.506
M009,2026-04-09 19:30:00,1.342,1.342,1.342,1.342
M009,2026-04-23 20:30:00,0.985,0.985,0.985,0.985
M009,2026-04-23 21:30:00,0.881,0.881,0.881,0.881
M009,2026-04-30 21:30:00,0.771,0.771,0.771,0.771
M009,2026-04-10 02:30:00,0.152,0.152,0.152,0.152
M009,2026-04-24 02:30:00,0.226,0.226,0.226,0.226
M009,2026-04-24 04:30:00,0.343,0.343,0.343,0.343
M009,2026-04-10 06:30:00,0.895,0.895,0.895,0.895
M009,2026-04-24 06:30:00,0.922,0.922,0.922,0.922
M009,2026-04-24 07:30:00,0.613,0.613,0.613,0.613
M009,2026-04-10 10:30:00,0.432,0.432,0.432,0.432
M009,2026-04-24 12:30:00,0.719,0.719,0.719,0.719
M009,2026-04-03 13:30:00,0.466,0.466,0.466,0.466
M009,2026-04-03 15:30:00,0.425,0.425,0.425,0.425
M009,2026-04-17 16:30:00,0.677,0.677,0.677,0.677
M009,2026-04-10 17:30:00,0.891,0.891,0.891,0.891
M009,2026-04-03 23:30:00,0.324,0.324,0.324,0.324
M009,2026-04-04 00:30:00,0.238,0.238,0.238,0.238
M009,2026-04-25 00:30:00,0.22,0.22,0.22,0.22
M009,2026-04-11 02:30:00,0.226,0.226,0.226,0.226
M009,2026-04-04 06:30:00,0.786,0.786,0.786,0.786
M009,2026-04-11 07:30:00,0.824,0.824,0.824,0.824
M009,2026-04-11 08:30:00,0.664,0.664,0.664,0.664
M009,2026-04-11 09:30:00,0.423,0.423,0.423,0.423
M009,2026-04-11 18:30:00,1.447,1.447,1.447,1.447
M018,2026-04-04 23:30:00,0.296,0.296,0.296,0.296
M018,2026-04-25 23:30:00,0.247,0.247,0.247,0.247
M018,2026-04-26 02:30:00,0.154,0.154,0.154,0.154
M018,2026-04-12 07:30:00,0.687,0.687,0.687,0.687
M018,2026-04-19 07:30:00,0.891,0.891,0.891,0.891
M018,2026-04-12 08:30:00,0.476,0.476,0.476,0.476
M018,2026-04-26 10:30:00,0.539,0.539,0.539,0.539
M018,2026-04-05 11:30:00,0.544,0.544,0.544,0.544
M018,2026-04-19 14:30:00,0.468,0.468,0.468,0.468
M018,2026-04-05 15:30:00,0.487,0.487,0.487,0.487
M018,2026-04-19 18:30:00,1.325,1.325,1.325,1.325
M018,2026-04-05 19:30:00,1.464,1.464,1.464,1.464
M018,2026-04-19 22:30:00,0.487,0.487,0.487,0.487
M018,2026-04-20 07:30:00,0.6,0.6,0.6,0.6
M018,2026-04-06 18:30:00,1.134,1.134,1.134,1.134
M018,2026-04-06 20:30:00,0.999,0.999,0.999,0.999
M018,2026-04-27 20:30:00,0.971,0.971,0.971,0.971
M018,2026-04-13 21:30:00,0.684,0.684,0.684,0.684
M018,2026-04-07 02:30:00,0.175,0.175,0.175,0.175
M018,2026-04-21 09:30:00,0.402,0.402,0.402,0.402
M018,2026-04-14 11:30:00,0.428,0.428,0.428,0.428
M018,2026-04-14 12:30:00,0.482,0.482,0.482,0.482
M018,2026-04-28 12:30:00,0.474,0.474,0.474,0.474
M018,2026-04-21 14:30:00,0.339,0.339,0.339,0.339
M018,2026-04-21 15:30:00,0.617,0.617,0.617,0.617
M018,2026-04-07 19:30:00,1.267,1.267,1.267,1.267
M018,2026-04-14 19:30:00,1.289,1.289,1.289,1.289
M018,2026-04-07 20:30:00,1.071,1.071,1.071,1.071
M018,2026-04-28 20:30:00,0.964,0.964,0.964,0.964
M018,2026-04-07 22:30:00,0.427,0.427,0.427,0.427
M018,2026-04-01 02:30:00,0.15,0.15,0.15,0.15
M018,2026-04-22 02:30:00,0.169,0.169,0.169,0.169
M018,2026-04-22 03:30:00,0.2,0.2,0.2,0.2
M018,2026-04-29 03:30:00,0.199,0.199,0.199,0.199
M018,2026-04-01 04:30:00,0.383,0.383,0.383,0.383
M018,2026-04-01 05:30:00,0.554,0.554,0.554,0.554
M018,2026-04-01 06:30:00,0.835,0.835,0.835,0.835
M018,2026-04-22 06:30:00,0.813,0.813,0.813,0.813
M018,2026-04-29 08:30:00,0.318,0.318,0.318,0.318
M018,2026-04-01 09:30:00,0.45,0.45,0.45,0.45
M018,2026-04-15 09:30:00,0.386,0.386,0.386,0.386
M018,2026-04-01 17:30:00,1.124,1.124,1.124,1.124
M018,2026-04-22 17:30:00,0.878,0.878,0.878,0.878
M018,2026-04-01 18:30:00,1.115,1.115,1.115,1.115
M018,2026-04-08 19:30:00,1.43,1.43,1.43,1.43
M018,2026-04-08 22:30:00,0.408,0.408,0.408,0.408
M018,2026-04-15 23:30:00,0.302,0.302,0.302,0.302
M018,2026-04-22 23:30:00,0.258,0.258,0.258,0.258
M018,2026-04-30 02:30:00,0.136,0.136,0.136,0.136
M018,2026-04-02 05:30:00,0.567,0.567,0.567,0.567
M018,2026-04-23 07:30:00,0.619,0.619,0.619,0.619
M018,2026-04-30 09:30:00,0.475,0.475,0.475,0.475
M018,2026-04-16 12:30:00,0.495,0.495,0.495,0.495
M018,2026-04-23 15:30:00,0.404,0.404,0.404,0.404
M018,2026-04-09 17:30:00,0.821,0.821,0.821,0.821
M018,2026-04-02 19:30:00,0.933,0.933,0.933,0.933
M018,2026-04-23 19:30:00,1.274,1.274,1.274,1.274
M018,2026-04-23 20:30:00,1.013,1.013,1.013,1.013
M018,2026-04-16 21:30:00,0.923,0.923,0.923,0.923
M018,2026-04-09 22:30:00,0.368,0.368,0.368,0.368
M018,2026-04-16 22:30:00,0.332,0.332,0.332,0.332
M018,2026-04-03 00:30:00,0.255,0.255,0.255,0.255
M018,2026-04-17 03:30:00,0.23,0.23,0.23,0.23
M018,2026-04-24 03:30:00,0.198,0.198,0.198,0.198
M018,2026-04-03 05:30:00,0.592,0.592,0.592,0.592
M018,2026-04-17 06:30:00,0.918,0.918,0.918,0.918
M018,2026-04-24 07:30:00,0.785,0.785,0.785,0.785
M018,2026-04-10 10:30:00,0.349,0.349,0.349,0.349
M018,2026-04-10 11:30:00,0.544,0.544,0.544,0.544
M018,2026-04-10 12:30:00,0.541,0.541,0.541,0.541
M018,2026-04-17 14:30:00,0.396,0.396,0.396,0.396
M018,2026-04-10 15:30:00,0.501,0.501,0.501,0.501
M018,2026-04-03 16:30:00,0.802,0.802,0.802,0.802
M018,2026-04-10 16:30:00,0.729,0.729,0.729,0.729
M018,2026-04-17 18:30:00,1.136,1.136,1.136,1.136
M018,2026-04-10 19:30:00,1.107,1.107,1.107,1.107
M018,2026-04-24 21:30:00,0.786,0.786,0.786,0.786
M018,2026-04-18 02:30:00,0.165,0.165,0.165,0.165
M018,2026-04-11 04:30:00,0.373,0.373,0.373,0.373
M018,2026-04-11 05:30:00,0.746,0.746,0.746,0.746
M018,2026-04-04 06:30:00,0.987,0.987,0.987,0.987
M018,2026-04-18 06:30:00,0.839,0.839,0.839,0.839
M018,2026-04-04 07:30:00,0.733,0.733,0.733,0.733
M018,2026-04-11 07:30:00,0.668,0.668,0.668,0.668
M018,2026-04-18 09:30:00,0.425,0.425,0.425,0.425
M018,2026-04-18 11:30:00,0.678,0.678,0.678,0.678
M018,2026-04-04 15:30:00,0.592,0.592,0.592,0.592
M018,2026-04-11 15:30:00,0.544,0.544,0.544,0.544
M018,2026-04-25 18:30:00,1.333,1.333,1.333,1.333
M018,2026-04-04 20:30:00,1.328,1.328,1.328,1.328
M018,2026-04-18 20:30:00,1.209,1.209,1.209,1.209
M026,2026-04-25 23:30:00,0.352,0.352,0.352,0.352
M026,2026-04-26 00:30:00,0.287,0.287,0.287,0.287
M026,2026-04-12 01:30:00,0.212,0.212,0.212,0.212
M026,2026-04-12 03:30:00,0.229,0.229,0.229,0.229
M026,2026-04-26 03:30:00,0.274,0.274,0.274,0.274
M026,2026-04-05 06:30:00,0.806,0.806,0.806,0.806
M026,2026-04-12 06:30:00,0.939,0.939,0.939,0.939
M026,2026-04-19 07:30:00,0.736,0.736,0.736,0.736
M026,2026-04-26 08:30:00,0.554,0.554,0.554,0.554
M026,2026-04-05 10:30:00,0.602,0.602,0.602,0.602
M026,2026-04-26 16:30:00,0.942,0.942,0.942,0.942
M026,2026-04-05 17:30:00,0.995,0.995,0.995,0.995
M026,2026-04-12 21:30:00,0.819,0.819,0.819,0.819
M026,2026-04-05 23:30:00,0.257,0.257,0.257,0.257
M026,2026-04-19 23:30:00,0.255,0.255,0.255,0.255
M026,2026-04-06 02:30:00,0.187,0.187,0.187,0.187
M026,2026-04-20 02:30:00,0.178,0.178,0.178,0.178
M026,2026-04-27 02:30:00,0.201,0.201,0.201,0.201
M026,2026-04-06 04:30:00,0.417,0.417,0.417,0.417
M026,2026-04-27 05:30:00,0.569,0.569,0.569,0.569
M026,2026-04-06 06:30:00,0.689,0.689,0.689,0.689
M026,2026-04-27 07:30:00,0.745,0.745,0.745,0.745
M026,2026-04-13 10:30:00,0.483,0.483,0.483,0.483
M026,2026-04-27 19:30:00,1.189,1.189,1.189,1.189
M026,2026-04-13 21:30:00,0.777,0.777,0.777,0.777
M026,2026-04-07 01:30:00,0.173,0.173,0.173,0.173
M026,2026-04-14 02:30:00,0.202,0.202,0.202,0.202
M026,2026-04-28 08:30:00,0.474,0.474,0.474,0.474
M026,2026-04-21 10:30:00,0.445,0.445,0.445,0.445
M026,2026-04-14 18:30:00,1.077,1.077,1.077,1.077
M026,2026-04-14 19:30:00,1.45,1.45,1.45,1.45
M026,2026-04-07 20:30:00,1.246,1.246,1.246,1.246
M026,2026-04-14 20:30:00,1.373,1.373,1.373,1.373
M026,2026-03-31 23:30:00,0.283,0.283,0.283,0.283
M026,2026-04-01 00:30:00,0.26,0.26,0.26,0.26
M026,2026-04-01 01:30:00,0.161,0.161,0.161,0.161
M026,2026-04-01 02:30:00,0.164,0.164,0.164,0.164
M026,2026-04-08 02:30:00,0.168,0.168,0.168,0.168
M026,2026-04-29 02:30:00,0.2,0.2,0.2,0.2
M026,2026-04-01 04:30:00,0.362,0.362,0.362,0.362
M026,2026-04-08 04:30:00,0.321,0.321,0.321,0.321
M026,2026-04-22 04:30:00,0.356,0.356,0.356,0.356
M026,2026-04-01 06:30:00,0.845,0.845,0.845,0.845
M026,2026-04-22 06:30:00,0.695,0.695,0.695,0.695
M026,2026-04-29 06:30:00,0.838,0.838,0.838,0.838
M026,2026-04-01 11:30:00,0.633,0.633,0.633,0.633
M026,2026-04-01 12:30:00,0.437,0.437,0.437,0.437
M026,2026-04-08 12:30:00,0.539,0.539,0.539,0.539
M026,2026-04-01 13:30:00,0.423,0.423,0.423,0.423
M026,2026-04-08 14:30:00,0.482,0.482,0.482,0.482
M026,2026-04-08 21:30:00,0.812,0.812,0.812,0.812
M026,2026-04-01 23:30:00,0.172,0.172,0.172,0.172
M026,2026-04-02 06:30:00,0.654,0.654,0.654,0.654
M026,2026-04-09 08:30:00,0.495,0.495,0.495,0.495
M026,2026-04-30 10:30:00,0.462,0.462,0.462,0.462
M026,2026-04-09 11:30:00,0.504,0.504,0.504,0.504
M026,2026-04-09 12:30:00,0.488,0.488,0.488,0.488
M026,2026-04-02 13:30:00,0.422,0.422,0.422,0.422
M026,2026-04-23 17:30:00,0.918,0.918,0.918,0.918
M026,2026-04-02 18:30:00,1.167,1.167,1.167,1.167
M026,2026-04-30 20:30:00,1.279,1.279,1.279,1.279
M026,2026-04-02 22:30:00,0.338,0.338,0.338,0.338
M026,2026-04-10 01:30:00,0.171,0.171,0.171,0.171
M026,2026-04-03 04:30:00,0.343,0.343,0.343,0.343
M026,2026-04-10 09:30:00,0.402,0.402,0.402,0.402
M026,2026-04-10 14:30:00,0.389,0.389,0.389,0.389
M026,2026-04-10 15:30:00,0.439,0.439,0.439,0.439
M026,2026-04-10 16:30:00,0.703,0.703,0.703,0.703
M026,2026-04-03 17:30:00,1.099,1.099,1.099,1.099
M026,2026-04-17 17:30:00,1.064,1.064,1.064,1.064
M026,2026-04-17 20:30:00,1.254,1.254,1.254,1.254
M026,2026-04-03 21:30:00,0.768,0.768,0.768,0.768
M026,2026-04-10 21:30:00,0.681,0.681,0.681,0.681
M026,2026-04-18 00:30:00,0.244,0.244,0.244,0.244
M026,2026-04-04 01:30:00,0.21,0.21,0.21,0.21
M026,2026-04-04 02:30:00,0.224,0.224,0.224,0.224
M026,2026-04-25 02:30:00,0.189,0.189,0.189,0.189
M026,2026-04-11 07:30:00,0.836,0.836,0.836,0.836
M026,2026-04-25 12:30:00,0.592,0.592,0.592,0.592
M026,2026-04-25 13:30:00,0.561,0.561,0.561,0.561
M026,2026-04-18 14:30:00,0.498,0.498,0.498,0.498
M026,2026-04-04 20:30:00,1.408,1.408,1.408,1.408
M025,2026-04-19 00:30:00,0.234,0.234,0.234,0.234
M025,2026-04-26 02:30:00,0.239,0.239,0.239,0.239
M025,2026-04-05 03:30:00,0.21,0.21,0.21,0.21
M025,2026-04-05 04:30:00,0.423,0.423,0.423,0.423
M025,2026-04-19 04:30:00,0.374,0.374,0.374,0.374
M025,2026-04-26 04:30:00,0.4,0.4,0.4,0.4
M025,2026-04-19 05:30:00,0.713,0.713,0.713,0.713
M025,2026-04-12 15:30:00,0.617,0.617,0.617,0.617
M025,2026-04-19 15:30:00,0.624,0.624,0.624,0.624
M025,2026-04-19 16:30:00,0.865,0.865,0.865,0.865
M025,2026-04-19 20:30:00,1.239,1.239,1.239,1.239
M025,2026-04-26 20:30:00,1.414,1.414,1.414,1.414
M025,2026-04-05 21:30:00,1.053,1.053,1.053,1.053
M025,2026-04-26 23:30:00,0.558,0.558,0.558,0.558
M025,2026-04-06 02:30:00,0.169,0.169,0.169,0.169
M025,2026-04-27 03:30:00,0.179,0.179,0.179,0.179
M025,2026-04-13 07:30:00,0.589,0.589,0.589,0.589
M025,2026-04-27 10:30:00,0.524,0.524,0.524,0.524
M025,2026-04-13 12:30:00,0.605,0.605,0.605,0.605
M025,2026-04-13 13:30:00,0.471,0.471,0.471,0.471
M025,2026-04-20 23:30:00,0.283,0.283,0.283,0.283
M025,2026-04-21 00:30:00,0.235,0.235,0.235,0.235
M025,2026-04-07 01:30:00,0.2,0.2,0.2,0.2
M025,2026-04-21 01:30:00,0.18,0.18,0.18,0.18
M025,2026-04-28 01:30:00,0.184,0.184,0.184,0.184
M025,2026-04-14 03:30:00,0.199,0.199,0.199,0.199
M025,2026-04-21 05:30:00,0.484,0.484,0.484,0.484
M025,2026-04-14 06:30:00,0.769,0.769,0.769,0.769
M025,2026-04-21 06:30:00,0.793,0.793,0.793,0.793
M025,2026-04-28 06:30:00,0.714,0.714,0.714,0.714
M025,2026-04-28 08:30:00,0.632,0.632,0.632,0.632
M025,2026-04-14 09:30:00,0.46,0.46,0.46,0.46
M025,2026-04-28 09:30:00,0.357,0.357,0.357,0.357
M025,2026-04-14 13:30:00,0.418,0.418,0.418,0.418
M025,2026-04-21 13:30:00,0.45,0.45,0.45,0.45
M025,2026-04-07 14:30:00,0.414,0.414,0.414,0.414
M025,2026-04-21 16:30:00,0.721,0.721,0.721,0.721
M025,2026-04-07 19:30:00,1.136,1.136,1.136,1.136
M025,2026-04-07 21:30:00,0.845,0.845,0.845,0.845
M025,2026-04-28 21:30:00,0.964,0.964,0.964,0.964
M025,2026-04-07 23:30:00,0.263,0.263,0.263,0.263
M025,2026-04-15 00:30:00,0.261,0.261,0.261,0.261
M025,2026-04-29 01:30:00,0.238,0.238,0.238,0.238
M025,2026-04-08 03:30:00,0.195,0.195,0.195,0.195
M025,2026-04-01 04:30:00,0.342,0.342,0.342,0.342
M025,2026-04-22 04:30:00,0.304,0.304,0.304,0.304
M025,2026-04-29 04:30:00,0.364,0.364,0.364,0.364
M025,2026-04-15 05:30:00,0.626,0.626,0.626,0.626
M025,2026-04-01 06:30:00,0.826,0.826,0.826,0.826
M025,2026-04-08 06:30:00,0.873,0.873,0.873,0.873
M025,2026-04-01 07:30:00,0.711,0.711,0.711,0.711
M025,2026-04-15 07:30:00,0.734,0.734,0.734,0.734
M025,2026-04-29 07:30:00,0.7,0.7,0.7,0.7
M025,2026-04-01 09:30:00,0.307,0.307,0.307,0.307
M025,2026-04-08 11:30:00,0.467,0.467,0.467,0.467
M025,2026-04-15 11:30:00,0.576,0.576,0.576,0.576
M025,2026-04-08 14:30:00,0.441,0.441,0.441,0.441
M025,2026-04-08 15:30:00,0.54,0.54,0.54,0.54
M025,2026-04-01 16:30:00,0.737,0.737,0.737,0.737
M025,2026-04-01 17:30:00,1.032,1.032,1.032,1.032
M025,2026-04-15 18:30:00,1.318,1.318,1.318,1.318
M025,2026-04-08 20:30:00,1.144,1.144,1.144,1.144
M025,2026-04-29 23:30:00,0.222,0.222,0.222,0.222
M025,2026-04-02 01:30:00,0.177,0.177,0.177,0.177
M025,2026-04-16 02:30:00,0.176,0.176,0.176,0.176
M025,2026-04-02 06:30:00,0.82,0.82,0.82,0.82
M025,2026-04-23 07:30:00,0.794,0.794,0.794,0.794
M025,2026-04-16 08:30:00,0.436,0.436,0.436,0.436
M025,2026-04-30 11:30:00,0.478,0.478,0.478,0.478
M025,2026-04-09 13:30:00,0.427,0.427,0.427,0.427
M025,2026-04-16 14:30:00,0.414,0.414,0.414,0.414
M025,2026-04-23 14:30:00,0.454,0.454,0.454,0.454
M025,2026-04-23 15:30:00,0.538,0.538,0.538,0.538
M025,2026-04-02 17:30:00,0.914,0.914,0.914,0.914
M025,2026-04-16 18:30:00,1.434,1.434,1.434,1.434
M025,2026-04-30 19:30:00,1.366,1.366,1.366,1.366
M025,2026-04-02 20:30:00,1.213,1.213,1.213,1.213
M025,2026-04-03 04:30:00,0.367,0.367,0.367,0.367
M025,2026-04-24 09:30:00,0.346,0.346,0.346,0.346
M025,2026-04-24 12:30:00,0.644,0.644,0.644,0.644
M025,2026-04-10 16:30:00,0.611,0.611,0.611,0.611
M025,2026-04-24 16:30:00,0.753,0.753,0.753,0.753
M025,2026-04-10 18:30:00,1.483,1.483,1.483,1.483
M025,2026-04-03 23:30:00,0.347,0.347,0.347,0.347
M025,2026-04-10 23:30:00,0.326,0.326,0.326,0.326
M025,2026-04-18 01:30:00,0.219,0.219,0.219,0.219
M025,2026-04-18 04:30:00,0.396,0.396,0.396,0.396
M025,2026-04-04 05:30:00,0.68,0.68,0.68,0.68
M025,2026-04-11 11:30:00,0.67,0.67,0.67,0.67
M025,2026-04-25 13:30:00,0.509,0.509,0.509,0.509
M025,2026-04-04 14:30:00,0.451,0.451,0.451,0.451
M025,2026-04-25 14:30:00,0.509,0.509,0.509,0.509
M025,2026-04-25 16:30:00,0.93,0.93,0.93,0.93
M025,2026-04-18 17:30:00,1.196,1.196,1.196,1.196
M035,2026-04-19 00:30:00,0.248,0.248,0.248,0.248
M035,2026-04-12 06:30:00,0.958,0.958,0.958,0.958
M035,2026-04-05 07:30:00,0.685,0.685,0.685,0.685
M035,2026-04-19 07:30:00,0.805,0.805,0.805,0.805
M035,2026-04-12 14:30:00,0.569,0.569,0.569,0.569
M035,2026-04-19 16:30:00,0.805,0.805,0.805,0.805
M035,2026-04-05 18:30:00,1.293,1.293,1.293,1.293
M035,2026-04-05 21:30:00,0.929,0.929,0.929,0.929
M035,2026-04-19 23:30:00,0.338,0.338,0.338,0.338
M035,2026-04-27 02:30:00,0.145,0.145,0.145,0.145
M035,2026-04-27 03:30:00,0.204,0.204,0.204,0.204
M035,2026-04-06 05:30:00,0.629,0.629,0.629,0.629
M035,2026-04-20 05:30:00,0.613,0.613,0.613,0.613
M035,2026-04-27 07:30:00,0.771,0.771,0.771,0.771
M035,2026-04-20 10:30:00,0.442,0.442,0.442,0.442
M035,2026-04-20 12:30:00,0.484,0.484,0.484,0.484
M035,2026-04-20 14:30:00,0.391,0.391,0.391,0.391
M035,2026-04-20 16:30:00,0.619,0.619,0.619,0.619
M035,2026-04-27 17:30:00,0.972,0.972,0.972,0.972
M035,2026-04-13 22:30:00,0.442,0.442,0.442,0.442
M035,2026-04-27 23:30:00,0.307,0.307,0.307,0.307
M035,2026-04-28 00:30:00,0.212,0.212,0.212,0.212
M035,2026-04-07 01:30:00,0.177,0.177,0.177,0.177
M035,2026-04-07 02:30:00,0.186,0.186,0.186,0.186
M035,2026-04-21 03:30:00,0.238,0.238,0.238,0.238
M035,2026-04-14 04:30:00,0.326,0.326,0.326,0.326
M035,2026-04-28 06:30:00,0.75,0.75,0.75,0.75
M035,2026-04-07 07:30:00,0.707,0.707,0.707,0.707
M035,2026-04-14 09:30:00,0.383,0.383,0.383,0.383
M035,2026-04-14 13:30:00,0.495,0.495,0.495,0.495
M035,2026-04-07 17:30:00,0.899,0.899,0.899,0.899
M035,2026-04-28 18:30:00,1.167,1.167,1.167,1.167
M035,2026-04-14 19:30:00,1.02,1.02,1.02,1.02
M035,2026-04-21 19:30:00,1.32,1.32,1.32,1.32
M035,2026-04-28 21:30:00,0.76,0.76,0.76,0.76
M035,2026-04-01 01:30:00,0.175,0.175,0.175,0.175
M035,2026-04-08 03:30:00,0.26,0.26,0.26,0.26
M035,2026-04-01 07:30:00,0.734,0.734,0.734,0.734
M035,2026-04-08 10:30:00,0.383,0.383,0.383,0.383
M035,2026-04-22 13:30:00,0.408,0.408,0.408,0.408
M035,2026-04-01 14:30:00,0.458,0.458,0.458,0.458
M035,2026-04-15 15:30:00,0.576,0.576,0.576,0.576
M035,2026-04-15 16:30:00,0.651,0.651,0.651,0.651
M035,2026-04-22 19:30:00,1.532,1.532,1.532,1.532
M035,2026-04-08 21:30:00,0.768,0.768,0.768,0.768
M035,2026-04-01 23:30:00,0.306,0.306,0.306,0.306
M035,2026-04-02 01:30:00,0.148,0.148,0.148,0.148
M035,2026-04-16 01:30:00,0.172,0.172,0.172,0.172
M035,2026-04-02 03:30:00,0.25,0.25,0.25,0.25
M035,2026-04-16 03:30:00,0.234,0.234,0.234,0.234
M035,2026-04-02 04:30:00,0.346,0.346,0.346,0.346
M035,2026-04-23 04:30:00,0.349,0.349,0.349,0.349
M035,2026-04-16 07:30:00,0.693,0.693,0.693,0.693
M035,2026-04-02 08:30:00,0.517,0.517,0.517,0.517
M035,2026-04-16 08:30:00,0.545,0.545,0.545,0.545
M035,2026-04-30 08:30:00,0.578,0.578,0.578,0.578
M035,2026-04-16 09:30:00,0.427,0.427,0.427,0.427
M035,2026-04-16 12:30:00,0.632,0.632,0.632,0.632
M035,2026-04-02 13:30:00,0.352,0.352,0.352,0.352
M035,2026-04-09 14:30:00,0.381,0.381,0.381,0.381
M035,2026-04-30 14:30:00,0.378,0.378,0.378,0.378
M035,2026-04-09 17:30:00,1.033,1.033,1.033,1.033
M035,2026-04-16 17:30:00,1.007,1.007,1.007,1.007
M035,2026-04-30 17:30:00,0.793,0.793,0.793,0.793
M035,2026-04-16 19:30:00,1.584,1.584,1.584,1.584
M035,2026-04-23 20:30:00,0.908,0.908,0.908,0.908
M035,2026-04-09 21:30:00,1.34,1.34,1.34,1.34
M035,2026-04-30 22:30:00,0.513,0.513,0.513,0.513
M035,2026-04-03 00:30:00,0.233,0.233,0.233,0.233
M035,2026-04-24 04:30:00,0.316,0.316,0.316,0.316
M035,2026-04-03 05:30:00,0.639,0.639,0.639,0.639
